,Thresholds for assigning 2001 steelhead ages based on length (mm),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,YOY length threshold (mm): all fish up to and including the assigned threshold should be classified as YOY; i.e. 80 means 80,,,,,,,,,,,,,,,,,,,,,,,
,"Age uncertain: fish that cannot be assign as YOY or Age 1 based on length due to overlap; ""none"" means that no fish fell into the uncertain category",,,,,,,,,,,,,,,,,,,,,,,
,"Age 1+: All fish equal to and above the assigned threshold should be assigned to Age 1+.  i.e., 91 means >= 91.  Note that this may include fish that are older than Age 1",,,,,,,,,,,,,,,,,,,,,,,
,"After fish are assigned to age classes, the totals should match the sample sizes listed for each site.  If they don't, then something is amiss.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fish length,,,Sample sizes,,,,,,,,,,,,,,,,
STREAM_NUMBER_SPENCE,Watershed,River,fish_id_range,yoy_upper_mm,age_uncertain_range,one_plus_lower,YOY_cnt,Age_uncertain_count,one_plus_count,Total,Notes,,,,,,,,,,,,,
1,Chorro Creek (Morro Bay),Pennington Creek,00201-00400,80,81-90,91,71,5,24,100,,,,,,,,,,,,,,
2,San Simeon Creek,San Simeon Creek,00401-00600,95,96-110,111,78,2,16,96,,,,,,,,,,,,,,
3,Willow Creek,Willow Creek,00601-00800,105,106-125,126,82,12,8,102,,,,,,,,,,,,,,
4,Big Creek,Big Creek,00801-01000,95,96-115,116,54,19,27,100,,,,,,,,,,,,,,
5,Big Sur River,Big Sur River,01001-00200,100,none,none,75,0,0,75,,,,,,,,,,,,,,
6,Carmel River,Carmel River,01201-00400,100,none,101,91,0,14,105,,,,,,,,,,,,,,
7,Salinas River,Piney Creek,01401-00600,80,81-100,101,6,7,1,14,Trib to Arroyo Seco Cr.,,,,,,,,,,,,,
8,Pajaro River,Corralitos Creek,01601-00800,95,none,96,77,0,23,100,,,,,,,,,,,,,,
9,San Lorenzo River,Carbonera Creek,02201-02400,95,96-105,106,77,6,11,94,,,,,,,,,,,,,,
10,San Lorenzo River,Zayante Creek,02401-02600,80,none,81,75,0,32,107,,,,,,,,,,,,,,
11,San Lorenzo River,Bear Creek,02601-02800,95,none,96,76,0,12,88,,,,,,,,,,,,,,
