Population Statistics,,,,,,,,,,,
Population Code,Year Sampled,County,Basin,Triburary 1,Tributary 2,Sampling Location,Sample size,Number of SNP loci typed,Expected Heterozygosity,Observed Heterozygosity,Mean Number of Alleles/Locus
ChPeA,2001,San Luis Obispo,Chorro Creek,,,Pennington Creek,100,96,0.3281,0.3426,1.92
SaSiA,2001,San Luis Obispo,San Simeon Creek,,,San Simeon Creek,96,96,0.3593,0.3685,1.98
SaSiB,2014,San Luis Obispo,San Simeon Creek,,,San Simeon Creek,75,96,0.3438,0.3531,1.97
WiCrA,2001,Monterey,Willow Creek,,,Willow Creek,102,96,0.3636,0.3624,1.99
WiCrB,2014,Monterey,Willow Creek,,,Willow Creek,68,95,0.3457,0.3471,1.98
BigMA,2001,Monterey,Big Creek,,,Big Creek,100,95,0.3904,0.3981,1.99
BigMB,2014,Monterey,Big Creek,,,Big Creek,75,95,0.3802,0.3982,2.00
BSRiA,2001,Monterey,Big Sur River,,,Big Sur River,75,96,0.3649,0.3684,1.99
BSRiB,2014,Monterey,Big Sur River,,,Big Sur River,75,95,0.3667,0.3719,1.99
CarRA,2001,Monterey,Carmel River,,,Carmel River,105,96,0.3602,0.3614,1.99
CarRB,2014,Monterey,Carmel River,,,Carmel River,75,95,0.3623,0.3970,1.98
CarRC,2015,Monterey,Carmel River,,,Carmel River,61,95,0.3595,0.3885,1.98
SaASA,2001,Monterey,Salinas River,,,Arroyo Seco,14,95,0.3781,0.3957,1.94
PaCoA,2001,Santa Cruz,Pajaro River,,,Corralitos Creek,100,95,0.3722,0.3862,1.98
PaCoC,2015,Santa Cruz,Pajaro River,,,West Branch Corralitos Creek,75,95,0.3693,0.3623,1.98
SLBeA,2001,Santa Cruz,San Lorenzo River,,,Bear Creek,88,95,0.3653,0.4058,1.98
SLBeC,2015,Santa Cruz,San Lorenzo River,,,Bear Creek,75,95,0.3409,0.3736,1.97
SLBoA,2001,Santa Cruz,San Lorenzo River,,,Boulder Creek,96,96,0.3852,0.3861,1.98
SLBoB,2014,Santa Cruz,San Lorenzo River,,,Boulder Creek,57,95,0.3711,0.3673,1.98
SLCaA,2001,Santa Cruz,San Lorenzo River,,,Carbonera Creek,94,95,0.3649,0.3716,1.97
SLCaB,2014,Santa Cruz,San Lorenzo River,,,Carbonera Creek,56,95,0.3484,0.3739,1.98
SLZaA,2001,Santa Cruz,San Lorenzo River,,,Zayante Creek,108,95,0.3748,0.3874,1.98
SLZaB,2014,Santa Cruz,San Lorenzo River,,,Zayante Creek,72,95,0.3576,0.3694,1.98
ScCrA,2001,Santa Cruz,Scott Creek,,,Scott Creek,92,96,0.3794,0.3817,1.99
ScCrB,2014,Santa Cruz,Scott Creek,,,Scott Creek,75,95,0.3519,0.3678,1.99
WaCrA,2001,Santa Cruz,Waddell Creek,,,Waddell Creek,98,96,0.3581,0.3599,1.97
WaCrB,2014,Santa Cruz,Waddell Creek,,,Waddell Creek,50,95,0.3772,0.3934,1.98
PesPA,2001,San Mateo,Pescadero Creek,,,Peters Creek,126,96,0.3644,0.3652,1.97
PesPB,2014,San Mateo,Pescadero Creek,,,Peters Creek,74,95,0.3673,0.3651,1.97
SPCrA,2001,San Mateo,San Pedro Creek,,,San Pedro Creek,98,95,0.3548,0.3550,1.98
SPCrB,2014,San Mateo,San Pedro Creek,,,San Pedro Creek,75,95,0.3447,0.3594,1.95
SFLTA,2001,Santa Clara,San Francisquito Creek,,,Los Trancos Creek,83,96,0.3666,0.3664,1.98
SFLTB,2014,Santa Clara,San Francisquito Creek,,,Los Trancos Creek,74,95,0.3516,0.3691,1.97
MiCrA,2001,Marin,Miller Creek,,,Miller Creek,87,96,0.3668,0.3544,1.99
